id,prediction
0,1
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
